data0,data1,data2,data3,data4,data5,data6,state
41,49,50,53,8,1,3,s0
43,46,51,52,3,5,1,s0
44,44,51,52,0,7,1,s0
44,45,52,54,1,7,2,s0
46,47,53,54,1,6,1,s0
47,48,55,54,1,7,-1,s0
48,49,53,55,1,4,2,s0
46,50,50,56,4,0,6,s0
42,51,49,54,9,-2,5,s0
41,47,50,52,6,3,2,s0
44,44,51,52,0,7,1,s0
44,44,51,54,0,7,3,s0
45,46,52,54,1,6,2,s0
46,47,54,54,1,7,0,s0
47,48,54,54,1,6,0,s0
47,49,52,56,2,3,4,s0
44,51,49,56,7,-2,7,s0
41,50,50,53,9,0,3,s0
42,45,51,51,3,6,0,s0
45,43,51,53,-2,8,2,s0
45,44,52,54,-1,8,2,s0
45,46,53,54,1,7,1,s0
46,48,55,54,2,7,-1,s0
49,49,53,55,0,4,2,s0
46,51,50,56,5,-1,6,s0
42,52,49,55,10,-3,6,s0
43,48,50,52,5,2,2,s0
44,44,51,52,0,7,1,s0
45,43,51,53,-2,8,2,s0
46,46,53,55,0,7,2,s0
47,47,54,54,0,7,0,s0
48,48,54,55,0,6,1,s0
47,49,52,56,2,3,4,s0
44,52,49,56,8,-3,7,s0
41,50,50,53,9,0,3,s0
42,46,51,52,4,5,1,s0
44,44,51,52,0,7,1,s0
45,45,52,54,0,7,2,s0
46,46,54,54,0,8,0,s0
46,47,54,54,1,7,0,s0
48,48,53,55,0,5,2,s0
46,50,51,56,4,1,5,s0
43,51,49,55,8,-2,6,s0
41,48,50,53,7,2,3,s0
43,44,51,52,1,7,1,s0
44,44,51,53,0,7,2,s0
45,45,52,54,0,7,2,s0
46,47,54,54,1,7,0,s0
46,49,54,54,3,5,0,s0
47,49,52,56,2,3,4,s0
44,51,50,56,7,-1,6,s0
42,50,50,54,8,0,4,s0
42,46,51,52,4,5,1,s0
44,43,51,52,-1,8,1,s0
45,44,52,54,-1,8,2,s0
45,46,53,54,1,7,1,s0
45,47,55,54,2,8,-1,s0
47,48,54,55,1,6,1,s0
46,50,51,56,4,1,5,s0
44,51,50,55,7,-1,5,s0
41,49,50,53,8,1,3,s0
43,44,51,52,1,7,1,s0
44,44,51,53,0,7,2,s0
45,45,52,54,0,7,2,s0
46,47,54,54,1,7,0,s0
47,48,54,54,1,6,0,s0
48,50,52,56,2,2,4,s0
45,51,50,56,6,-1,6,s0
41,51,50,54,10,-1,4,s0
42,46,51,52,4,5,1,s0
44,43,51,52,-1,8,1,s0
45,44,51,54,-1,7,3,s0
45,46,53,54,1,7,1,s0
47,47,54,54,0,7,0,s0
47,49,54,55,2,5,1,s0
47,50,51,56,3,1,5,s0
43,52,49,55,9,-3,6,s0
42,50,50,53,8,0,3,s0
43,45,51,52,2,6,1,s0
44,44,51,53,0,7,2,s0
44,44,52,54,0,8,2,s0
45,47,54,54,2,7,0,s0
47,48,55,55,1,7,0,s0
48,50,52,56,2,2,4,s0
45,51,50,56,6,-1,6,s0
41,51,49,54,10,-2,5,s0
42,47,51,52,5,4,1,s0
43,44,51,52,1,7,1,s0
44,44,51,54,0,7,3,s0
45,46,53,54,1,7,1,s0
47,47,54,54,0,7,0,s0
48,49,54,55,1,5,1,s0
47,50,51,56,3,1,5,s0
43,52,49,56,9,-3,7,s0
41,50,50,53,9,0,3,s0
42,46,51,52,4,5,1,s0
43,43,51,53,0,8,2,s0
45,45,52,54,0,7,2,s0
45,46,54,54,1,8,0,s0
46,48,55,54,2,7,-1,s0
25,144,39,158,119,-105,119,s1
24,148,40,170,124,-108,130,s1
25,165,41,200,140,-124,159,s1
23,198,38,197,175,-160,159,s1
22,198,33,195,176,-165,162,s1
23,164,32,168,141,-132,136,s1
25,155,32,157,130,-123,125,s1
24,148,31,161,124,-117,130,s1
22,156,31,164,134,-125,133,s1
21,149,34,150,128,-115,116,s1
23,134,35,139,111,-99,104,s1
22,118,37,123,96,-81,86,s1
24,96,40,101,72,-56,61,s1
27,80,43,90,53,-37,47,s1
30,73,47,86,43,-26,39,s1
32,71,48,86,39,-23,38,s1
32,72,49,88,40,-23,39,s1
30,75,49,94,45,-26,45,s1
30,85,49,113,55,-36,64,s1
31,114,49,152,83,-65,103,s1
31,150,49,180,119,-101,131,s1
30,171,47,203,141,-124,156,s1
26,203,43,200,177,-160,157,s1
26,203,36,196,177,-167,160,s1
22,193,27,172,171,-166,145,s1
20,154,27,160,134,-127,133,s1
20,154,29,163,134,-125,134,s1
22,145,31,141,123,-114,110,s1
24,128,32,136,104,-96,104,s1
26,133,35,148,107,-98,113,s1
26,136,39,143,110,-97,104,s1
26,126,39,132,100,-87,93,s1
26,113,40,118,87,-73,78,s1
26,99,40,108,73,-59,68,s1
25,93,41,102,68,-52,61,s1
26,86,43,100,60,-43,57,s1
28,87,45,106,59,-42,61,s1
30,97,47,123,67,-50,76,s1
31,123,48,157,92,-75,109,s1
31,157,49,197,126,-108,148,s1
28,192,48,201,164,-144,153,s1
24,204,40,197,180,-164,157,s1
19,200,29,194,181,-171,165,s1
17,180,26,158,163,-154,132,s1
19,139,28,139,120,-111,111,s1
23,127,30,136,104,-97,106,s1
24,130,32,147,106,-98,115,s1
25,149,34,168,124,-115,134,s1
27,173,36,197,146,-137,161,s1
26,182,34,190,156,-148,156,s1
23,163,33,158,140,-130,125,s1
19,127,36,124,108,-91,88,s1
20,94,37,98,74,-57,61,s1
23,76,39,87,53,-37,48,s1
27,70,41,84,43,-29,43,s1
30,69,44,82,39,-25,38,s1
33,70,46,82,37,-24,36,s1
34,71,47,83,37,-24,36,s1
35,74,46,86,39,-28,40,s1
33,79,46,93,46,-33,47,s1
32,87,46,103,55,-41,57,s1
32,100,48,127,68,-52,79,s1
32,130,49,165,98,-81,116,s1
32,163,47,202,131,-116,155,s1
30,193,45,202,163,-148,157,s1
27,205,42,199,178,-163,157,s1
24,202,37,195,178,-165,158,s1
20,199,31,192,179,-168,161,s1
15,196,24,190,181,-172,166,s1
14,182,23,189,168,-159,166,s1
15,193,24,188,178,-169,164,s1
13,193,25,187,180,-168,162,s1
13,165,27,161,152,-138,134,s1
15,130,31,129,115,-99,98,s1
18,98,33,99,80,-65,66,s1
21,76,34,82,55,-42,48,s1
23,67,35,73,44,-32,38,s1
25,61,38,69,36,-23,31,s1
28,57,41,67,29,-16,26,s1
31,56,43,68,25,-13,25,s1
34,57,46,69,23,-11,23,s1
36,59,48,72,23,-11,24,s1
37,62,49,74,25,-13,25,s1
38,67,48,79,29,-19,31,s1
38,74,47,87,36,-27,40,s1
35,81,47,95,46,-34,48,s1
34,91,49,115,57,-42,66,s1
34,119,50,155,85,-69,105,s1
33,162,48,208,129,-114,160,s1
30,210,45,203,180,-165,158,s1
26,205,43,198,179,-162,155,s1
22,201,40,195,179,-161,155,s1
19,198,35,192,179,-163,157,s1
15,195,28,189,180,-167,161,s1
10,193,26,187,183,-167,161,s1
8,191,24,185,183,-167,161,s1
8,162,22,143,154,-140,121,s1
12,101,28,95,89,-73,67,s1
17,68,32,76,51,-36,44,s1
22,59,36,69,37,-23,33,s1
20,106,81,176,86,-25,95,s2
19,131,93,194,112,-38,101,s2
16,196,106,188,180,-90,82,s2
10,191,107,183,181,-84,76,s2
5,186,100,179,181,-86,79,s2
1,182,95,175,181,-87,80,s2
1,179,88,173,178,-91,85,s2
1,177,80,171,176,-97,91,s2
1,176,72,170,175,-104,98,s2
1,175,51,170,174,-124,119,s2
1,143,37,135,142,-106,98,s2
1,68,37,84,67,-31,47,s2
11,49,40,69,38,-9,29,s2
18,45,41,66,27,-4,25,s2
22,48,43,69,26,-5,26,s2
23,52,49,75,29,-3,26,s2
26,54,55,82,28,1,27,s2
29,61,61,102,32,0,41,s2
29,85,75,153,56,-10,78,s2
27,138,104,199,111,-34,95,s2
21,201,142,191,180,-59,49,s2
11,192,150,183,181,-42,33,s2
3,184,148,175,181,-36,27,s2
1,177,133,169,176,-44,36,s2
1,172,121,165,171,-51,44,s2
1,169,119,162,168,-50,43,s2
1,167,119,160,166,-48,41,s2
1,165,121,159,164,-44,38,s2
1,164,119,158,163,-45,39,s2
1,163,60,159,162,-103,99,s2
1,98,33,104,97,-65,71,s2
1,46,31,70,45,-15,39,s2
4,40,35,62,36,-5,27,s2
12,38,40,61,26,2,21,s2
19,39,44,64,20,5,20,s2
24,44,48,72,20,4,24,s2
27,55,55,87,28,0,32,s2
30,76,61,124,46,-15,63,s2
28,116,74,186,88,-42,112,s2
24,162,90,197,138,-72,107,s2
16,199,102,191,183,-97,89,s2
9,193,131,184,184,-62,53,s2
1,186,128,177,185,-58,49,s2
1,180,119,172,179,-61,53,s2
1,176,116,169,175,-60,53,s2
1,173,109,166,172,-64,57,s2
1,171,99,165,170,-72,66,s2
1,170,68,165,169,-102,97,s2
1,171,36,166,170,-135,130,s2
1,113,29,111,112,-84,82,s2
1,56,35,73,55,-21,38,s2
10,35,39,59,25,4,20,s2
17,31,41,54,14,10,13,s2
23,33,45,53,10,12,8,s2
29,36,50,55,7,14,5,s2
33,39,55,61,6,16,6,s2
34,44,62,76,10,18,14,s2
33,53,84,111,20,31,27,s2
28,70,125,178,42,55,53,s2
24,89,151,196,65,62,45,s2
17,103,168,189,86,65,21,s2
10,128,180,181,118,52,1,s2
1,172,135,174,171,-37,39,s2
1,165,86,172,164,-79,86,s2
1,166,84,172,165,-82,88,s2
1,157,91,171,156,-66,80,s2
1,172,144,167,171,-28,23,s2
1,169,147,161,168,-22,14,s2
1,132,96,160,131,-36,64,s2
1,70,51,109,69,-19,58,s2
1,41,40,73,40,-1,33,s2
8,35,39,60,27,4,21,s2
17,35,42,59,18,7,17,s2
22,41,43,63,19,2,20,s2
24,46,46,68,22,0,22,s2
25,50,52,74,25,2,22,s2
28,55,61,90,27,6,29,s2
30,66,68,110,36,2,42,s2
30,77,74,128,47,-3,54,s2
29,93,85,166,64,-8,81,s2
26,139,110,198,113,-29,88,s2
19,199,140,190,180,-59,50,s2
9,191,147,181,182,-44,34,s2
1,183,149,174,182,-34,25,s2
1,176,145,167,175,-31,22,s2
1,170,143,161,169,-27,18,s2
1,165,120,158,164,-45,38,s2
1,164,118,158,163,-46,40,s2
1,163,113,157,162,-50,44,s2
1,163,111,157,162,-52,46,s2
1,163,120,156,162,-43,36,s2
1,162,70,157,161,-92,87,s2
1,137,42,141,136,-95,99,s2
1,58,37,86,57,-21,49,s2
1,38,38,67,37,0,29,s2
10,33,39,61,23,6,22,s2
18,35,44,59,17,9,15,s2
24,38,49,61,14,11,12,s2
29,43,52,66,14,9,14,s2
31,49,55,78,18,6,23,s2
1,9,105,103,8,96,-2,s3
3,9,110,107,6,101,-3,s3
8,12,114,117,4,102,3,s3
8,19,185,179,11,166,-6,s3
1,39,114,137,38,75,23,s3
2,33,63,78,31,30,15,s3
10,25,53,64,15,28,11,s3
17,27,49,59,10,22,10,s3
22,31,47,55,9,16,8,s3
28,34,49,52,6,15,3,s3
32,36,50,52,4,14,2,s3
35,39,48,54,4,9,6,s3
35,43,48,56,8,5,8,s3
34,44,52,57,10,8,5,s3
35,41,57,59,6,16,2,s3
38,39,59,62,1,20,3,s3
39,41,60,63,2,19,3,s3
39,42,64,65,3,22,1,s3
42,43,74,75,1,31,1,s3
42,43,90,91,1,47,1,s3
39,43,101,104,4,58,3,s3
34,42,111,113,8,69,2,s3
30,37,128,128,7,91,0,s3
28,29,149,142,1,120,-7,s3
24,25,134,128,1,109,-6,s3
23,24,123,118,1,99,-5,s3
22,24,121,117,2,97,-4,s3
23,24,132,126,1,108,-6,s3
21,23,139,136,2,116,-3,s3
16,22,154,149,6,132,-5,s3
10,20,94,90,10,74,-4,s3
14,22,58,58,8,36,0,s3
21,24,44,46,3,20,2,s3
27,28,43,46,1,15,3,s3
31,33,46,49,2,13,3,s3
34,37,51,52,3,14,1,s3
37,41,54,58,4,13,4,s3
39,45,63,75,6,18,12,s3
36,53,87,107,17,34,20,s3
32,58,108,132,26,50,24,s3
30,59,129,154,29,70,25,s3
27,54,160,185,27,106,25,s3
20,39,198,191,19,159,-7,s3
14,19,174,164,5,155,-10,s3
11,15,150,143,4,135,-7,s3
10,16,151,154,6,135,3,s3
5,19,150,157,14,131,7,s3
1,17,144,149,16,127,5,s3
1,13,161,174,12,148,13,s3
1,10,177,170,9,167,-7,s3
1,8,151,154,7,143,3,s3
1,9,73,72,8,64,-1,s3
5,11,37,36,6,26,-1,s3
16,18,32,35,2,14,3,s3
23,26,35,41,3,9,6,s3
25,33,39,46,8,6,7,s3
28,35,45,49,7,10,4,s3
32,35,54,57,3,19,3,s3
35,37,73,79,2,36,6,s3
35,41,93,103,6,52,10,s3
34,46,125,138,12,79,13,s3
31,50,183,200,19,133,17,s3
23,39,159,137,16,120,-22,s3
20,27,129,129,7,102,0,s3
15,26,128,127,11,102,-1,s3
14,21,138,145,7,117,7,s3
12,30,191,184,18,161,-7,s3
6,46,133,157,40,87,24,s3
6,34,85,99,28,51,14,s3
11,28,69,77,17,41,8,s3
18,30,59,66,12,29,7,s3
22,32,50,57,10,18,7,s3
24,35,45,52,11,10,7,s3
26,35,44,47,9,9,3,s3
31,34,45,46,3,11,1,s3
34,34,46,49,0,12,3,s3
37,38,49,52,1,11,3,s3
38,41,54,55,3,13,1,s3
41,42,58,58,1,16,0,s3
42,44,61,64,2,17,3,s3
41,46,71,77,5,25,6,s3
38,46,87,91,8,41,4,s3
36,41,102,101,5,61,-1,s3
35,36,119,118,1,83,-1,s3
33,33,141,140,0,108,-1,s3
28,30,162,155,2,132,-7,s3
24,25,144,133,1,119,-11,s3
23,24,128,122,1,104,-6,s3
21,24,134,133,3,110,-1,s3
15,23,141,138,8,118,-3,s3
12,19,133,129,7,114,-4,s3
11,14,160,156,3,146,-4,s3
9,9,120,106,0,111,-14,s3
11,13,62,61,2,49,-1,s3
19,22,49,50,3,27,1,s3
25,27,49,49,2,22,0,s3
30,32,48,52,2,16,4,s3
31,37,48,55,6,11,7,s3
30,41,52,57,11,11,5,s3
32,39,57,61,7,18,4,s3
