data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,gesure
1,1,1,21,21,21,21,21,21,12,12,13,13,23,23,23,23,3,3,3,g0
1,1,21,21,21,21,11,11,22,22,12,12,13,13,23,23,23,23,3,3,g0
21,21,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,3,3,3,g0
21,21,21,11,11,11,11,12,12,13,13,23,23,23,23,23,23,3,3,3,g0
1,1,1,21,21,21,21,21,11,21,21,12,13,13,23,23,23,23,3,3,g0
21,21,11,11,21,12,12,12,12,12,13,13,13,23,23,23,23,23,3,3,g0
21,21,11,11,12,12,12,13,13,13,13,23,23,23,23,23,23,23,3,3,g0
21,21,11,11,11,12,12,12,13,13,13,13,23,23,23,23,23,23,3,3,g0
1,1,21,21,21,21,21,21,11,11,12,12,13,13,23,23,23,23,3,3,g0
1,1,21,21,21,21,21,21,21,12,12,13,13,13,23,23,23,23,3,3,g0
1,1,1,21,21,21,21,21,21,22,22,23,23,23,23,23,23,3,3,3,g0
1,1,1,21,21,21,21,21,21,12,12,23,23,23,23,23,23,3,3,3,g0
21,21,21,21,12,12,12,23,23,23,23,23,23,23,23,23,3,3,3,3,g0
1,1,1,21,21,21,21,21,21,22,22,23,23,23,23,23,23,3,3,3,g0
1,1,21,21,21,21,21,21,21,21,22,22,23,23,23,23,23,23,3,3,g0
1,1,21,21,21,21,21,21,22,22,13,13,23,23,23,23,23,23,3,3,g0
21,21,21,21,12,12,12,12,23,23,23,23,23,23,23,23,3,3,3,3,g0
1,1,21,21,21,21,21,22,22,22,22,13,13,23,23,23,23,23,3,3,g0
1,1,21,21,21,21,21,21,21,11,11,12,12,13,23,23,23,23,3,3,g0
21,21,21,12,12,12,13,13,13,23,23,23,23,23,23,23,23,3,3,3,g0
1,1,1,21,21,21,21,21,21,12,12,23,23,23,23,23,23,3,3,3,g0
1,1,1,1,1,1,1,1,21,21,21,21,22,22,22,23,23,3,3,3,g0
1,1,1,21,21,21,21,21,21,22,22,23,23,23,23,23,23,3,3,3,g0
1,1,1,21,21,21,21,21,22,22,23,23,23,23,23,23,23,3,3,3,g0
1,1,1,21,21,11,11,21,21,12,12,13,13,23,23,23,23,3,3,3,g0
21,21,21,21,21,21,21,21,21,12,12,23,23,23,23,23,23,3,3,3,g0
21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,23,3,3,3,3,g0
1,1,1,1,1,21,21,21,21,21,12,12,23,23,23,23,23,3,3,3,g0
1,1,21,21,21,21,21,21,12,12,13,13,23,23,23,23,23,23,3,3,g0
21,21,21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,3,3,3,g0
23,23,23,23,21,21,21,21,21,21,1,1,1,1,1,1,3,3,3,3,g1
23,23,23,23,23,23,11,11,11,11,11,21,21,21,21,21,21,1,1,1,g1
23,23,23,23,23,23,23,23,23,23,23,23,12,12,12,12,11,11,11,11,g1
23,23,23,23,11,11,11,21,21,21,21,21,21,1,1,1,3,3,1,1,g1
3,3,23,23,23,23,23,12,11,11,11,11,21,21,21,21,21,21,1,1,g1
23,23,23,23,23,23,23,23,12,12,12,12,11,11,11,11,11,11,21,21,g1
23,23,23,23,22,22,22,22,11,11,11,11,11,11,11,11,21,21,21,21,g1
23,23,23,23,23,22,22,22,22,22,12,12,12,12,12,11,11,11,11,11,g1
23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,11,11,11,11,g1
23,23,23,23,21,21,11,11,11,11,11,21,21,21,21,21,21,21,1,1,g1
23,23,23,22,22,11,11,11,11,11,11,11,11,21,21,21,21,3,3,3,g1
23,23,23,23,23,21,21,21,11,11,11,11,11,11,11,11,11,21,21,21,g1
23,23,23,22,22,11,11,11,11,11,21,21,21,21,21,21,21,1,1,1,g1
23,23,23,23,11,11,11,21,21,1,1,1,1,3,3,3,3,3,1,1,g1
23,23,23,23,22,22,22,11,11,11,11,11,11,11,11,11,21,21,21,21,g1
23,23,23,21,21,11,11,11,21,21,21,21,21,21,21,21,21,1,1,1,g1
23,23,23,23,21,21,21,11,11,11,21,21,21,21,21,21,3,3,3,3,g1
23,23,23,23,23,21,21,21,11,11,11,11,21,21,21,23,23,3,3,3,g1
23,23,23,23,22,22,22,22,11,11,11,11,21,21,21,21,3,3,3,3,g1
23,23,23,23,22,22,22,22,11,11,11,11,1,1,1,1,3,3,3,3,g1
23,23,23,22,22,22,11,11,11,11,11,21,21,21,1,1,1,3,3,3,g1
23,23,23,23,21,21,21,21,11,11,11,11,23,23,23,23,3,3,3,3,g1
23,23,23,23,21,21,21,21,11,11,11,11,1,1,1,1,3,3,3,3,g1
23,23,23,23,21,21,21,21,1,1,1,1,1,1,1,1,3,3,3,3,g1
23,23,23,23,23,21,21,21,21,21,1,1,1,1,1,3,3,3,3,3,g1
23,23,23,23,21,21,21,21,21,21,21,21,1,1,1,1,3,3,3,3,g1
23,23,23,23,23,23,23,12,12,11,11,11,11,11,22,22,23,23,3,3,g1
23,23,23,23,23,22,22,21,21,11,11,11,11,21,21,23,23,3,3,3,g1
23,23,23,23,23,23,21,21,21,11,11,21,21,21,21,21,21,3,3,3,g1
23,23,23,23,22,22,11,11,11,11,21,21,21,21,21,21,1,1,3,3,g1
3,3,23,23,23,23,13,13,13,22,13,13,13,13,23,23,23,23,3,3,g2
3,3,3,3,23,23,23,23,22,23,23,12,12,12,12,13,13,13,23,23,g2
3,3,23,23,23,23,23,22,22,12,12,12,12,12,13,13,13,13,23,23,g2
3,3,23,23,22,22,23,12,12,13,13,13,13,23,23,23,23,23,3,3,g2
3,3,3,3,23,23,22,22,12,12,12,12,22,12,22,23,23,23,3,3,g2
3,3,3,3,23,23,23,23,23,23,23,23,23,23,23,23,13,13,13,13,g2
3,3,23,3,23,23,23,22,22,21,21,22,12,12,12,12,22,12,23,23,g2
3,3,23,23,23,23,23,12,12,13,13,13,13,13,23,23,23,23,3,3,g2
3,3,3,23,23,22,22,23,23,13,13,23,23,13,13,13,13,23,23,23,g2
3,3,3,23,23,23,23,23,23,13,13,13,13,13,13,13,13,23,23,23,g2
3,3,23,23,23,23,23,23,23,12,12,22,22,13,13,13,13,13,23,23,g2
3,3,3,3,23,23,23,23,12,12,12,13,23,23,23,23,3,23,23,3,g2
3,3,3,3,3,3,23,23,23,23,23,23,23,23,23,23,23,13,13,13,g2
3,3,3,3,23,23,23,23,23,23,23,23,23,23,23,23,13,13,13,13,g2
3,3,23,23,23,22,22,12,12,12,12,12,12,22,22,12,22,22,23,23,g2
3,3,3,3,23,23,22,12,12,12,12,12,12,12,13,13,13,13,23,23,g2
3,3,3,3,3,23,23,23,22,22,12,12,12,12,12,13,12,12,23,23,g2
3,3,3,3,23,23,23,23,23,23,23,23,23,23,23,23,13,13,13,13,g2
3,3,23,23,23,23,23,13,13,13,13,13,13,23,23,23,23,23,3,3,g2
23,23,22,22,22,12,12,12,12,13,13,13,23,23,23,23,23,23,3,3,g2
23,23,23,13,13,13,13,13,23,23,23,23,23,23,23,23,23,3,3,3,g2
12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,g2
3,3,23,23,23,23,23,22,12,12,12,12,12,13,13,13,23,23,3,3,g2
