data0,data1,data2,data3,data4,data5,data6,state
42,51,49,54,9,-2,5,s0
40,48,50,52,8,2,2,s0
43,44,51,51,1,7,0,s0
43,43,51,53,0,8,2,s0
44,45,52,54,1,7,2,s0
44,46,54,54,2,8,0,s0
46,47,53,54,1,6,1,s0
45,49,51,55,4,2,4,s0
43,51,48,55,8,-3,7,s0
41,50,49,53,9,-1,4,s0
41,45,50,51,4,5,1,s0
43,42,50,52,-1,8,2,s0
44,44,51,53,0,7,2,s0
44,45,52,53,1,7,1,s0
46,47,54,53,1,7,-1,s0
46,48,53,54,2,5,1,s0
45,50,50,56,5,0,6,s0
42,51,48,55,9,-3,7,s0
40,49,50,52,9,1,2,s0
41,44,51,51,3,7,0,s0
44,43,51,52,-1,8,1,s0
44,45,51,53,1,6,2,s0
45,46,53,53,1,7,0,s0
47,47,54,54,0,7,0,s0
46,49,52,55,3,3,3,s0
44,50,49,56,6,-1,7,s0
42,51,49,54,9,-2,5,s0
41,46,50,51,5,4,1,s0
43,43,50,52,0,7,2,s0
43,43,51,53,0,8,2,s0
44,44,52,53,0,8,1,s0
46,47,54,53,1,7,-1,s0
45,47,54,54,2,7,0,s0
47,49,51,56,2,2,5,s0
43,51,49,55,8,-2,6,s0
41,48,49,53,7,1,4,s0
41,45,51,51,4,6,0,s0
44,43,51,52,-1,8,1,s0
43,44,51,54,1,7,3,s0
45,46,53,54,1,7,1,s0
46,47,53,54,1,6,1,s0
46,49,52,55,3,3,3,s0
45,50,49,56,5,-1,7,s0
41,50,49,54,9,-1,5,s0
40,47,50,51,7,3,1,s0
42,43,50,51,1,7,1,s0
44,43,51,53,-1,8,2,s0
44,45,52,53,1,7,1,s0
45,46,54,53,1,8,-1,s0
46,48,54,54,2,6,0,s0
46,49,51,55,3,2,4,s0
43,50,49,56,7,-1,7,s0
40,50,49,53,10,-1,4,s0
41,46,50,51,5,4,1,s0
44,43,50,52,-1,7,2,s0
44,44,51,53,0,7,2,s0
44,46,53,54,2,7,1,s0
45,47,54,54,2,7,0,s0
47,48,53,55,1,5,2,s0
45,49,50,56,4,1,6,s0
42,51,48,55,9,-3,7,s0
41,48,50,52,7,2,2,s0
42,44,50,51,2,6,1,s0
44,43,51,53,-1,8,2,s0
43,45,51,54,2,6,3,s0
45,46,53,54,1,7,1,s0
